
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-03-02 22:11:24 /livewire-b5ae0c61/update .................. ~ 500.51ms
  2026-03-02 22:11:33 /livewire-b5ae0c61/update .................... ~ 0.17ms
  2026-03-02 22:13:55 /livewire-b5ae0c61/update .................. ~ 500.58ms
  2026-03-02 22:22:02 /livewire-b5ae0c61/update .................. ~ 500.61ms
  2026-03-02 22:01:51 ............................................. ~ 42m 52s
  2026-03-02 22:57:57 / ................................................ ~ 1s
  2026-03-02 22:58:57 /api/appointments ............................ ~ 0.32ms
  2026-03-02 22:59:02 /api/appointments ............................ ~ 0.24ms
  2026-03-02 22:59:15 /api/auth/logout ............................. ~ 0.19ms
  2026-03-02 22:59:15 /api/auth/refresh ............................ ~ 1.12ms
  2026-03-02 23:00:39 /admin ....................................... ~ 0.17ms
  2026-03-02 23:00:40 /favicon.ico ..................................... ~ 2s
  2026-03-02 23:00:44 /admin/profile ............................... ~ 0.15ms
  2026-03-02 23:00:45 /favicon.ico ............................... ~ 500.43ms
  2026-03-02 23:00:56 /api/auth/login .............................. ~ 0.22ms
  2026-03-02 23:03:48 /api/auth/register ........................... ~ 0.24ms
  2026-03-02 23:04:03 /api/auth/login .............................. ~ 0.15ms
  2026-03-02 23:06:32 /api/auth/login ............................ ~ 500.49ms
  2026-03-02 23:06:34 /api/auth/login .............................. ~ 0.23ms
  2026-03-02 23:06:44 /api/auth/login .............................. ~ 0.17ms
  2026-03-02 23:06:50 / ............................................ ~ 0.23ms
  2026-03-02 23:06:50 /livewire-b5ae0c61/livewire.js ................... ~ 1s
  2026-03-02 23:06:54 /admin ....................................... ~ 0.34ms
  2026-03-02 23:06:54 .............................................. ~ 3m 10s
  2026-03-02 23:10:04 /admin/profile ............................... ~ 0.13ms
  2026-03-02 23:10:04 /favicon.ico ..................................... ~ 1s
  2026-03-02 23:10:07 /admin/users ................................. ~ 0.19ms
  2026-03-02 23:10:07 /favicon.ico ............................... ~ 500.55ms
  2026-03-02 23:10:26 /api/auth/login .............................. ~ 0.30ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server

  2026-03-02 23:15:17 /api/auth/login ............................ ~ 500.66ms
  2026-03-02 23:18:46 /api/auth/login .............................. ~ 0.45ms
  2026-03-02 23:20:24 /api/auth/login ............................ ~ 500.52ms
  2026-03-02 23:57:00 /api/auth/register ......................... ~ 501.26ms
  2026-03-02 23:57:03 /api/appointments ............................ ~ 0.22ms
  2026-03-02 23:57:10 /api/appointments ............................ ~ 0.23ms
  2026-03-02 23:57:21 /api/doctors ................................. ~ 0.36ms
  2026-03-02 23:57:32 /admin/users ................................. ~ 0.20ms
  2026-03-02 23:57:32 /favicon.ico ..................................... ~ 2s
  2026-03-02 23:57:36 /admin/users/d6d99c48-5c4e-498e-a68e-e28dd28b1118  ~ 0.25ms
  2026-03-02 23:57:36 /favicon.ico ..................................... ~ 1s
  2026-03-02 23:57:39 /admin/appointments ........................ ~ 500.61ms
  2026-03-02 23:57:40 /favicon.ico ................................. ~ 0.08ms
  2026-03-02 23:57:45 /admin/doctors ............................. ~ 500.45ms
  2026-03-02 23:57:46 .............................................. ~ 3m 43s
  2026-03-03 00:11:30 /admin/doctors ................................... ~ 1s
  2026-03-03 00:11:30 ............................................... ~ 1m 2s
  2026-03-03 00:12:40 /api/appointments ............................ ~ 0.19ms
  2026-03-03 00:12:41 /api/auth/refresh ............................ ~ 0.10ms
  2026-03-03 00:12:41 /api/appointments .......................... ~ 500.51ms
  2026-03-03 00:12:46 /api/doctors ................................. ~ 0.20ms
  2026-03-03 00:13:10 /api/appointments ............................ ~ 0.31ms
  2026-03-03 00:13:10 /api/appointments ............................ ~ 0.24ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.23ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.07ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.81ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.81ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.82ms
  2026-03-03 00:13:32 /api/medical-records ......................... ~ 0.78ms
  2026-03-03 00:14:04 /api/auth/logout ............................. ~ 0.29ms
  2026-03-03 00:14:25 /admin ....................................... ~ 1.01ms
  2026-03-03 00:14:25 /favicon.ico ..................................... ~ 2s
  2026-03-03 00:14:29 /admin/profile ............................. ~ 501.42ms
  2026-03-03 00:14:30 /favicon.ico ................................. ~ 0.11ms
  2026-03-03 00:15:49 /admin ..................................... ~ 500.50ms
  2026-03-03 00:15:50 /favicon.ico ............................... ~ 500.43ms
  2026-03-03 00:15:56 /api/auth/login .............................. ~ 0.16ms
  2026-03-03 00:16:08 /api/appointments ............................ ~ 0.17ms
  2026-03-03 00:16:20 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-03 00:16:50 /livewire-b5ae0c61/update .................. ~ 500.40ms
  2026-03-03 00:17:12 /api/profile ................................. ~ 0.24ms
  2026-03-03 00:17:20 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-03 00:17:25 /admin/users ................................. ~ 0.21ms
  2026-03-03 00:17:25 /favicon.ico ............................... ~ 500.64ms
  2026-03-03 00:24:13 /admin ..................................... ~ 500.72ms
  2026-03-03 00:24:13 /favicon.ico ............................... ~ 500.52ms
  2026-03-03 00:24:15 /admin/users ................................. ~ 0.25ms
  2026-03-03 00:24:15 /favicon.ico ............................... ~ 500.52ms
  2026-03-03 00:24:17 /admin/doctors ............................. ~ 500.62ms
  2026-03-03 00:24:18 /admin/users ..................................... ~ 2s
  2026-03-03 00:24:20 /favicon.ico ................................. ~ 0.06ms
  2026-03-03 00:24:24 /admin/appointments .......................... ~ 0.22ms
  2026-03-03 00:24:25 /favicon.ico ............................... ~ 500.58ms
  2026-03-03 00:24:32 /admin/appointments/3fe8419c-5c1b-4610-a80b-8e901f7e3897  ~ 0.24ms
  2026-03-03 00:24:32 /favicon.ico ............................... ~ 500.52ms
  2026-03-03 00:24:45 /admin/settings .............................. ~ 0.20ms
  2026-03-03 00:24:45 /favicon.ico ............................... ~ 500.55ms
  2026-03-03 00:24:52 /admin/chat-monitor ........................ ~ 500.66ms
  2026-03-03 00:24:52 /favicon.ico ............................... ~ 500.49ms
  2026-03-03 00:25:26 /api/auth/logout ............................. ~ 0.20ms
  2026-03-03 00:25:31 /admin/users ............................... ~ 500.54ms
  2026-03-03 00:25:31 /favicon.ico ............................... ~ 500.54ms
  2026-03-03 00:26:07 /api/auth/login .............................. ~ 0.25ms
  2026-03-03 00:27:16 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.29ms
  2026-03-03 00:27:19 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.19ms
  2026-03-03 00:27:35 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.24ms
  2026-03-03 00:28:46 /admin/chat-monitor ........................ ~ 500.73ms
  2026-03-03 00:28:46 /favicon.ico ..................................... ~ 1s
  2026-03-03 00:29:13 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.42ms
  2026-03-03 00:30:48 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 1.22ms
  2026-03-03 00:30:49 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 500.71ms
  2026-03-03 00:30:49 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.12ms
  2026-03-03 00:30:49 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.09ms
  2026-03-03 00:30:50 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.18ms
  2026-03-03 00:31:48 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.21ms
  2026-03-03 00:31:48 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.17ms
  2026-03-03 00:31:48 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.10ms
  2026-03-03 00:31:49 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.26ms
  2026-03-03 00:31:49 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.07ms
  2026-03-03 00:33:47 /.aider.conf.yml ............................. ~ 0.23ms
  2026-03-03 00:33:51 /admin/chat-monitor .......................... ~ 0.18ms
  2026-03-03 00:33:51 /favicon.ico ..................................... ~ 1s
  2026-03-03 00:34:02 /admin/doctors ............................. ~ 500.46ms
  2026-03-03 00:34:03 /admin/chat-monitor .............................. ~ 3s
  2026-03-03 00:34:06 /favicon.ico ..................................... ~ 2s
  2026-03-03 00:34:10 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 0.17ms
  2026-03-03 00:34:11 /api/consultations/cd651ec7-81bf-49b6-9f8d-7b64dcac91dd/messages  ~ 500.48ms
  2026-03-03 00:34:14 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 0.20ms
  2026-03-03 00:36:14 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 0.54ms
  2026-03-03 00:36:15 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 500.48ms
  2026-03-03 00:36:15 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 0.08ms
  2026-03-03 00:36:15 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 0.26ms
  2026-03-03 00:36:16 /api/consultations/1f778feb-b951-4942-b282-457299e37226/messages  ~ 0.05ms
  2026-03-03 00:42:20 /api/appointments ............................ ~ 2.02ms
  2026-03-03 00:42:21 /api/auth/refresh ............................ ~ 0.15ms
  2026-03-03 00:42:21 /api/appointments ............................ ~ 0.86ms
  2026-03-03 00:42:28 /api/doctors ................................. ~ 0.17ms
  2026-03-03 00:42:32 /api/medical-records ......................... ~ 0.14ms
  2026-03-03 00:42:32 /api/medical-records ......................... ~ 0.10ms
  2026-03-03 00:42:32 /api/medical-records ....................... ~ 501.52ms
  2026-03-03 00:42:32 /api/medical-records ....................... ~ 502.44ms
  2026-03-03 00:42:32 /api/medical-records ....................... ~ 502.37ms
  2026-03-03 00:42:32 /api/medical-records ......................... ~ 0.92ms
  2026-03-03 00:42:43 /api/appointments ............................ ~ 0.17ms
  2026-03-03 00:43:11 /api/auth/logout ............................. ~ 0.26ms
  2026-03-03 00:43:53 /api/auth/login ............................ ~ 500.52ms
  2026-03-03 00:44:24 /api/appointments ............................ ~ 0.24ms
  2026-03-03 00:44:24 /api/appointments ............................ ~ 0.23ms
  2026-03-03 01:23:10 /jars ........................................ ~ 0.30ms
  2026-03-03 01:34:50 / ............................................ ~ 0.35ms
  2026-03-03 02:11:50 / ............................................ ~ 0.32ms
  2026-03-03 03:05:09 / ............................................ ~ 1.26ms
  2026-03-03 03:05:09 / ............................................ ~ 0.05ms
  2026-03-03 03:16:03 /login ....................................... ~ 1.19ms
  2026-03-03 03:54:59 / ............................................ ~ 0.53ms
  2026-03-03 03:55:00 /favicon.ico ................................. ~ 0.07ms
  2026-03-03 04:06:55 /config.js ................................... ~ 0.24ms
  2026-03-03 04:28:01 / ............................................ ~ 0.32ms
  45.56.79.53:43930 Invalid request (Connection reset by peer)
  2026-03-03 04:34:54 .................................................. ~ 7s
  2026-03-03 04:35:01 / .......................................... ~ 500.56ms
  2026-03-03 04:42:49 / ............................................ ~ 0.20ms
  2026-03-03 05:00:20 /appsettings.json ............................ ~ 0.30ms
  65.49.1.232:63420 Invalid request (Unsupported SSL request)
  2026-03-03 05:27:06 .............................................. ~ 0.49ms
  65.49.1.236:34945 Invalid request (Unsupported SSL request)
  2026-03-03 05:27:23 .............................................. ~ 0.31ms
  2026-03-03 05:29:05 / ............................................ ~ 0.20ms
  2026-03-03 05:29:34 /favicon.ico ................................. ~ 0.19ms
  2026-03-03 05:30:26 / .......................................... ~ 500.52ms
  65.49.1.216:63473 [404]: CONNECT www.shadowserver.org:443
  2026-03-03 05:30:38 .............................................. ~ 0.21ms
  167.94.146.63:14656 Invalid request (Connection reset by peer)
  2026-03-03 07:04:22 .................................................. ~ 3s
  2026-03-03 07:04:25 / ................................................ ~ 3s
  167.94.146.63:4096 Invalid request (Unsupported SSL request)
  2026-03-03 07:04:31 .............................................. ~ 0.21ms
  167.94.146.63:4122 Invalid request (Unsupported SSL request)
  2026-03-03 07:04:31 .............................................. ~ 0.09ms
  2026-03-03 07:04:31 / .......................................... ~ 500.49ms
  167.94.146.63:4128 Invalid request (Malformed HTTP request)
  2026-03-03 07:04:32 .............................................. ~ 0.11ms
  167.94.146.63:27428 Invalid request (Unsupported SSL request)
  2026-03-03 07:04:36 .............................................. ~ 0.20ms
  2026-03-03 07:04:36 /robots.txt .................................. ~ 0.05ms
  2026-03-03 07:04:36 /favicon.ico ................................. ~ 0.04ms
  167.94.146.63:27464 Invalid request (Unsupported SSL request)
  2026-03-03 07:04:36 .............................................. ~ 0.09ms
  2026-03-03 07:04:36 /j19lqjx38_fr9055wg ........................ ~ 500.45ms
  2026-03-03 07:42:29 .............................................. ~ 0.42ms
  2026-03-03 07:42:53 / ................................................ ~ 6s
  2026-03-03 07:42:59 /nice ports,/Trinity.txt.bak ................. ~ 0.05ms
  172.235.173.150:51508 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:07 .............................................. ~ 0.22ms
  2026-03-03 07:43:07 .................................................. ~ 5s
  2026-03-03 07:43:12 / ............................................ ~ 0.06ms
  172.235.173.150:47296 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:12 .............................................. ~ 0.22ms
  172.235.173.150:47310 Invalid request (Unsupported SSL request)
  2026-03-03 07:43:12 .............................................. ~ 0.14ms
  172.235.173.150:47312 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:12 .............................................. ~ 0.10ms
  172.235.173.150:47320 Invalid request (Unexpected EOF)
  2026-03-03 07:43:12 .................................................. ~ 7s
  172.235.173.150:51534 Invalid request (Unsupported SSL request)
  2026-03-03 07:43:20 .............................................. ~ 0.09ms
  172.235.173.150:51542 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:20 .............................................. ~ 0.10ms
  172.235.173.150:51556 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:20 .............................................. ~ 0.09ms
  172.235.173.150:51570 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:20 .............................................. ~ 0.09ms
  172.235.173.150:51584 Invalid request (Malformed HTTP request)
  2026-03-03 07:43:20 .............................................. ~ 0.09ms
  2026-03-03 07:43:20 / .......................................... ~ 500.43ms
  2026-03-03 07:45:57 / ................................................ ~ 5s
  2026-03-03 07:46:15 /login.php ....................................... ~ 3s
  2026-03-03 07:46:15 /api/v2/about .................................... ~ 3s
  2026-03-03 07:46:18 / CSCOE /logon.html .......................... ~ 0.19ms
  2026-03-03 07:46:19 /geoserver/ ...................................... ~ 2s
  2026-03-03 07:46:21 /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage  ~ 501.50ms
  2026-03-03 07:46:21 /cgi-mod/header_logo.cgi ......................... ~ 5s
  2026-03-03 07:46:21 /inicio.jsp ...................................... ~ 5s
  2026-03-03 07:46:30 /main.jsa .................................... ~ 0.14ms
  2026-03-03 07:46:30 /webui ....................................... ~ 0.05ms
  2026-03-03 07:46:30 /favicon.ico ................................. ~ 1.17ms
  2026-03-03 07:46:29 ............................................ ~ 503.64ms
  2026-03-03 07:46:31 /localstart.aspx ............................. ~ 0.16ms
  2026-03-03 07:46:31 / ............................................ ~ 0.98ms
  2026-03-03 07:46:31 /human.aspx .................................. ~ 2.51ms
  2026-03-03 07:46:31 /geoserver/index.html ........................ ~ 1.06ms
  2026-03-03 07:46:31 /dana-cached/hc/HostCheckerInstaller.osx ... ~ 500.56ms
  2026-03-03 07:46:32 /owa/ ........................................ ~ 0.17ms
  2026-03-03 07:46:32 /owa/ ...................................... ~ 500.45ms
  2026-03-03 07:46:31 .................................................. ~ 1s
  2026-03-03 07:46:29 .................................................. ~ 3s
  2026-03-03 07:46:29 .................................................. ~ 3s
  2026-03-03 07:46:33 / .......................................... ~ 500.58ms
  2026-03-03 08:33:46 /api/auth/login .............................. ~ 0.44ms
  2026-03-03 08:34:08 /api/auth/login .............................. ~ 0.16ms
  2026-03-03 08:34:55 /api/auth/login .............................. ~ 1.22ms
  2026-03-03 08:35:42 /admin ....................................... ~ 0.21ms
  2026-03-03 08:35:42 /admin/login ................................. ~ 1.55ms
  2026-03-03 08:35:52 /favicon.ico ................................. ~ 0.17ms
  2026-03-03 08:36:35 /admin/login ............................... ~ 501.37ms
  2026-03-03 08:36:35 /admin ....................................... ~ 0.05ms
  2026-03-03 08:36:36 /favicon.ico ................................. ~ 0.17ms
  2026-03-03 08:36:39 /admin/users ................................. ~ 0.17ms
  2026-03-03 08:36:39 /favicon.ico ............................... ~ 500.50ms
  2026-03-03 08:37:26 /api/auth/login ............................ ~ 500.46ms
  2026-03-03 08:37:29 /api/appointments ............................ ~ 0.19ms
  2026-03-03 08:37:41 /api/auth/logout ............................. ~ 0.16ms
  2026-03-03 08:37:49 /admin/doctors ............................. ~ 500.41ms
  2026-03-03 08:37:50 /admin/users ..................................... ~ 1s
  2026-03-03 08:37:51 /favicon.ico ............................... ~ 500.57ms
  2026-03-03 08:37:55 /admin/users ................................. ~ 0.19ms
  2026-03-03 08:37:55 /favicon.ico ................................. ~ 1.14ms
  2026-03-03 08:38:00 /admin/activity-log ........................ ~ 500.63ms
  2026-03-03 08:38:00 /favicon.ico ................................. ~ 0.05ms
  2026-03-03 08:38:00 /api/auth/login .............................. ~ 0.05ms
  2026-03-03 08:38:02 /admin/reports ............................. ~ 500.59ms
  2026-03-03 08:38:02 /admin/activity-log .............................. ~ 1s
  2026-03-03 08:38:04 /favicon.ico ................................. ~ 0.07ms
  2026-03-03 08:38:04 /admin/settings ............................ ~ 502.19ms
  2026-03-03 08:38:05 /favicon.ico ................................. ~ 0.05ms
  2026-03-03 08:40:01 /api/auth/register ......................... ~ 500.56ms
  2026-03-03 08:40:27 /api/auth/login ............................ ~ 500.64ms
  2026-03-03 08:40:35 /admin/settings .............................. ~ 0.17ms
  2026-03-03 08:40:36 /favicon.ico ..................................... ~ 1s
  2026-03-03 08:40:38 /admin/users ................................. ~ 0.19ms
  2026-03-03 08:40:38 /favicon.ico ............................... ~ 500.55ms
  2026-03-03 08:40:43 /admin/reports ............................. ~ 500.68ms
  2026-03-03 08:40:44 /admin/users ..................................... ~ 1s
  2026-03-03 08:40:45 /favicon.ico ............................... ~ 500.59ms
  2026-03-03 08:40:47 /admin/settings .............................. ~ 0.16ms
  2026-03-03 08:40:47 /favicon.ico ................................. ~ 0.08ms
  2026-03-03 08:40:48 /admin/users ................................. ~ 0.16ms
  2026-03-03 08:40:48 /favicon.ico ............................... ~ 500.44ms
  2026-03-03 08:42:36 /api/auth/register ......................... ~ 500.48ms
  2026-03-03 08:43:03 /api/profile ................................. ~ 0.17ms
  2026-03-03 08:42:04 .............................................. ~ 1m 11s
  2026-03-03 08:43:30 /api/profile ................................. ~ 0.17ms
  2026-03-03 08:43:47 /api/doctors ................................. ~ 0.16ms
  2026-03-03 08:44:02 /api/appointments ............................ ~ 0.18ms
  2026-03-03 08:44:12 /api/appointments ............................ ~ 0.18ms
  2026-03-03 08:44:12 /api/appointments ............................ ~ 0.16ms
  2026-03-03 08:44:25 /api/appointments .......................... ~ 502.24ms
  2026-03-03 08:45:16 /api/medical-records ......................... ~ 0.14ms
  2026-03-03 08:45:16 /api/medical-records ......................... ~ 0.15ms
  2026-03-03 08:45:16 /api/medical-records ......................... ~ 0.06ms
  2026-03-03 08:45:16 /api/medical-records ......................... ~ 0.06ms
  2026-03-03 08:45:17 /api/medical-records ......................... ~ 0.04ms
  2026-03-03 08:45:17 /api/medical-records ....................... ~ 500.41ms
  2026-03-03 08:46:42 /api/medical-records ......................... ~ 0.26ms
  2026-03-03 08:46:42 /api/medical-records ......................... ~ 0.16ms
  2026-03-03 08:46:43 /api/medical-records ......................... ~ 0.05ms
  2026-03-03 08:47:24 /admin/users ................................. ~ 0.20ms
  2026-03-03 08:47:24 /favicon.ico ..................................... ~ 1s
  2026-03-03 08:47:27 /admin/medical-records ..................... ~ 500.49ms
  2026-03-03 08:47:27 /favicon.ico ................................. ~ 0.06ms
  2026-03-03 08:47:45 /admin/logout ................................ ~ 0.17ms
  2026-03-03 08:47:45 /admin/login ................................. ~ 1.25ms
  2026-03-03 08:47:45 /favicon.ico ................................. ~ 0.17ms
  2026-03-03 08:48:07 /admin/login ............................... ~ 500.49ms
  2026-03-03 08:48:07 /admin ..................................... ~ 501.46ms
  2026-03-03 08:48:08 /favicon.ico ................................. ~ 0.17ms
  2026-03-03 08:48:56 /admin/medical-records ....................... ~ 0.17ms
  2026-03-03 08:48:56 /favicon.ico ..................................... ~ 1s
  2026-03-03 08:48:57 /admin/users ............................... ~ 500.66ms
  2026-03-03 08:48:57 /favicon.ico ............................... ~ 500.64ms
  2026-03-03 08:49:03 /admin/logout .............................. ~ 500.50ms
  2026-03-03 08:49:03 /admin/login ............................... ~ 501.53ms
  2026-03-03 08:49:04 /favicon.ico ................................. ~ 0.06ms
  2026-03-03 08:49:08 /admin/login ............................... ~ 500.59ms
  2026-03-03 08:49:08 /admin/login ............................... ~ 501.51ms
  2026-03-03 08:49:09 /favicon.ico ................................. ~ 0.17ms
  2026-03-03 08:49:33 /api/auth/logout ............................. ~ 0.18ms
  2026-03-03 08:50:04 /api/auth/login .............................. ~ 0.17ms
  2026-03-03 08:50:38 /api/appointments ............................ ~ 0.20ms
  2026-03-03 08:50:46 /api/appointments ............................ ~ 0.28ms
  2026-03-03 08:50:59 /api/auth/logout ............................. ~ 0.18ms
  2026-03-03 09:39:21 /api/auth/login .............................. ~ 0.33ms
  2026-03-03 09:40:14 /api/doctors ............................... ~ 500.48ms
  2026-03-03 09:40:25 /api/appointments ............................ ~ 0.18ms
  2026-03-03 09:48:14 /api/appointments ............................ ~ 0.19ms
  2026-03-03 09:48:14 /api/appointments .......................... ~ 500.43ms
  2026-03-03 09:48:31 /api/doctors ................................. ~ 0.17ms
  2026-03-03 09:48:33 /api/doctors ................................. ~ 0.22ms
  2026-03-03 09:48:36 /api/doctors ................................. ~ 0.26ms
  2026-03-03 09:48:36 /api/doctors ................................. ~ 0.15ms
  2026-03-03 09:48:37 /api/doctors ................................. ~ 0.15ms
  2026-03-03 10:24:24 /admin ..................................... ~ 500.83ms
  2026-03-03 10:24:24 /admin/login ..................................... ~ 1s
  2026-03-03 10:24:24 /favicon.ico ..................................... ~ 1s
  2026-03-03 10:24:37 /admin/login ............................... ~ 500.52ms
  2026-03-03 10:24:39 /admin/login ................................. ~ 0.24ms
  2026-03-03 10:24:39 /favicon.ico ............................... ~ 500.50ms
  2026-03-03 10:24:44 /admin/login ................................. ~ 0.17ms
  2026-03-03 10:24:44 /favicon.ico ................................. ~ 0.25ms
  2026-03-03 10:24:58 /admin/login ................................. ~ 0.21ms
  2026-03-03 10:24:59 /favicon.ico ................................. ~ 0.20ms
  2026-03-03 10:25:01 / ............................................ ~ 0.25ms
  2026-03-03 10:25:02 /favicon.ico ................................. ~ 0.22ms
  2026-03-03 10:25:14 /admin ....................................... ~ 0.15ms
  2026-03-03 10:25:14 /admin/login ................................. ~ 0.18ms
  2026-03-03 10:25:14 /favicon.ico ................................. ~ 0.05ms
  2026-03-03 10:25:23 /admin/login ................................. ~ 0.15ms
  2026-03-03 10:25:23 /admin ....................................... ~ 0.15ms
  2026-03-03 10:25:34 /admin/users ................................. ~ 0.16ms
  2026-03-03 10:25:52 /favicon.ico ............................... ~ 500.45ms
  2026-03-03 10:27:34 /api/auth/login ............................ ~ 500.66ms
  2026-03-03 10:27:38 /api/appointments ............................ ~ 0.20ms
  152.32.208.73:44726 Invalid request (Unsupported SSL request)
  2026-03-03 10:28:04 .............................................. ~ 0.40ms
  2026-03-03 10:28:04 ................................................. ~ 10s
  2026-03-03 10:28:14 / ............................................ ~ 0.11ms
  2026-03-03 10:28:14 /favicon.ico ................................. ~ 0.16ms
  2026-03-03 10:28:14 /robots.txt .................................. ~ 0.06ms
  2026-03-03 10:28:14 /sitemap.xml ................................. ~ 0.05ms
  2026-03-03 10:28:15 /livewire-b5ae0c61/livewire.js ............... ~ 0.18ms
  2026-03-03 10:28:22 /update_weights_from_tensor .................. ~ 0.16ms
  2026-03-03 10:29:52 /login ....................................... ~ 0.21ms
  2026-03-03 10:35:02 /api/doctors ................................. ~ 0.21ms
  2026-03-03 10:35:08 /api/appointments ............................ ~ 0.26ms
  2026-03-03 10:37:32 /api/appointments ............................ ~ 0.27ms
  2026-03-03 10:38:08 /api/doctors ................................. ~ 0.20ms
  2026-03-03 10:38:29 /api/appointments ............................ ~ 0.14ms
  2026-03-03 10:47:53 /admin/doctors .................................. ~ 25s
  2026-03-03 10:47:53 .................................................. ~ 1m
  2026-03-03 10:47:53 .................................................. ~ 1m
